website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,142.250.200.1,lhr48s29-in-f1.1e100.net
ebay.com,2.19.248.89,a2-19-248-89.deploy.static.akamaitechnologies.com
stripe.com,52.215.231.162,ec2-52-215-231-162.eu-west-1.compute.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,52.48.138.41,ec2-52-48-138-41.eu-west-1.compute.amazonaws.com
amazontrust.com,143.204.215.70,server-143-204-215-70.fra53.r.cloudfront.net
branch.io,18.66.122.44,server-18-66-122-44.fra60.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
tremorhub.com,13.33.187.31,server-13-33-187-31.fra60.r.cloudfront.net
worldbank.org,35.71.168.154,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,3.160.150.85,server-3-160-150-85.fra60.r.cloudfront.net
google.ru,216.58.204.67,lhr48s49-in-f3.1e100.net
weathernews.jp,18.244.18.73,server-18-244-18-73.fra56.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
goguardian.com,54.70.54.65,ec2-54-70-54-65.us-west-2.compute.amazonaws.com
mparticle.com,54.196.97.165,ec2-54-196-97-165.compute-1.amazonaws.com
howstuffworks.com,18.245.86.14,server-18-245-86-14.fra60.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,2.18.66.88,a2-18-66-88.deploy.static.akamaitechnologies.com
tamu.edu,99.83.234.45,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.138,bs.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,216.58.212.227,ams16s22-in-f227.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
