website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,142.250.80.97,lga34s36-in-f1.1e100.net
ebay.com,23.33.42.144,a23-33-42-144.deploy.static.akamaitechnologies.com
stripe.com,54.162.8.126,ec2-54-162-8-126.compute-1.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,52.48.138.41,ec2-52-48-138-41.eu-west-1.compute.amazonaws.com
branch.io,3.168.102.65,server-3-168-102-65.jfk52.r.cloudfront.net
amazontrust.com,13.225.63.107,server-13-225-63-107.ewr53.r.cloudfront.net
tremorhub.com,108.139.29.67,server-108-139-29-67.jfk50.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
worldbank.org,35.71.168.154,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,108.139.29.36,server-108-139-29-36.jfk50.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
google.ru,142.250.64.99,lga34s31-in-f3.1e100.net
weathernews.jp,18.164.124.62,server-18-164-124-62.jfk50.r.cloudfront.net
goguardian.com,34.212.125.0,ec2-34-212-125-0.us-west-2.compute.amazonaws.com
mparticle.com,3.210.172.157,ec2-3-210-172-157.compute-1.amazonaws.com
howstuffworks.com,3.168.102.13,server-3-168-102-13.jfk52.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,23.43.85.12,a23-43-85-12.deploy.static.akamaitechnologies.com
tamu.edu,75.2.123.204,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.138,bs.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,142.251.32.99,lga25s77-in-f3.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,96.16.199.207,a96-16-199-207.deploy.static.akamaitechnologies.com
xero.com,108.138.106.117,server-108-138-106-117.jfk50.r.cloudfront.net
ethz.ch,129.132.19.216,cms-publish.ethz.ch
mobilefuse.com,18.164.96.18,server-18-164-96-18.jfk50.r.cloudfront.net
ccc.de,195.54.164.39,web.ber.ccc.de
hawaii.edu,128.171.133.42,waquarium.org
sba.gov,35.153.10.75,ec2-35-153-10-75.compute-1.amazonaws.com
nalog.ru,37.220.164.100,cdn.ngenix.net
google.com.pk,142.251.40.163,lga25s81-in-f3.1e100.net
tele2.ru,78.41.111.55,cdn.ngenix.net
code.org,3.171.139.88,server-3-171-139-88.jfk52.r.cloudfront.net
qualcomm.com,129.46.98.181,vip-drekar-lasdmzprd-xredirect.qualcomm.com
uga.edu,3.33.229.187,a4345f13d27631163.awsglobalaccelerator.com
lastline.com,208.91.0.132,as-40816.engx.vmware.com
google.lk,142.251.35.163,lga25s78-in-f3.1e100.net
eia.gov,205.254.131.126,parspssmtest.doe.gov
siemens.de,75.2.23.197,a63a2890458a45c87.awsglobalaccelerator.com
tenor.co,34.120.13.18,18.13.120.34.bc.googleusercontent.com
merchant-center-analytics.goog,216.239.32.27,any-in-201b.1e100.net
statsig.com,34.36.101.214,214.101.36.34.bc.googleusercontent.com
alamy.com,34.255.127.214,ec2-34-255-127-214.eu-west-1.compute.amazonaws.com
3m.com,3.13.79.249,ec2-3-13-79-249.us-east-2.compute.amazonaws.com
netlify.com,15.197.167.90,afa7f374f51cc8991.awsglobalaccelerator.com
lapresse.ca,34.199.174.9,ec2-34-199-174-9.compute-1.amazonaws.com
uh.edu,129.7.97.54,uh.edu
ons.gov.uk,18.169.209.99,ec2-18-169-209-99.eu-west-2.compute.amazonaws.com
asuscomm.com,54.191.180.149,ec2-54-191-180-149.us-west-2.compute.amazonaws.com
jal.co.jp,18.178.219.162,ec2-18-178-219-162.ap-northeast-1.compute.amazonaws.com
salesforce-scrt.com,3.146.43.227,ec2-3-146-43-227.us-east-2.compute.amazonaws.com
lgdacom.net,34.149.84.92,92.84.149.34.bc.googleusercontent.com
academy.com,174.46.23.26,174-46-23-26.static.ctl.one
turbify.com,3.84.65.235,ec2-3-84-65-235.compute-1.amazonaws.com
autotrader.com,23.201.164.232,a23-201-164-232.deploy.static.akamaitechnologies.com
gigaset.net,81.173.115.217,ip81-173-115-217.pbiaas.com
trenitalia.com,23.65.199.55,a23-65-199-55.deploy.static.akamaitechnologies.com
retailrocket.ru,88.99.142.227,static.88-99-142-227.clients.your-server.de
o2.pl,212.77.98.29,www.o2.pl
deviantart.net,44.226.191.238,ec2-44-226-191-238.us-west-2.compute.amazonaws.com
pr3tty-fly4.com,157.90.33.74,psh3.1push.io
twingate.com,34.36.151.97,97.151.36.34.bc.googleusercontent.com
taxtelecom.ru,94.130.216.99,htz2.taximaxim.com
google.ga,142.250.80.99,lga34s36-in-f3.1e100.net
googlecode.com,142.251.40.228,lga34s39-in-f4.1e100.net
growthbook.io,108.139.47.113,server-108-139-47-113.jfk50.r.cloudfront.net
nine.com.au,76.223.34.124,aa089eb6179d1ae2b.awsglobalaccelerator.com
eqads.com,74.213.173.116,74-213-173-116.beanfield.net
ccleaner.com,18.238.80.11,server-18-238-80-11.jfk52.r.cloudfront.net
alaska.gov,158.145.65.37,courts.alaska.gov
decolar.com,44.210.62.22,ec2-44-210-62-22.compute-1.amazonaws.com
fnn.jp,13.249.91.77,server-13-249-91-77.jfk52.r.cloudfront.net
divvy.co,52.12.154.90,ec2-52-12-154-90.us-west-2.compute.amazonaws.com
upmusics.com,88.198.87.74,static.88.198.87.74.clients.your-server.de
rusvideos.cc,212.162.152.11,4769541.ds-b.had.pm
nishinippon.co.jp,3.168.73.110,server-3-168-73-110.jfk50.r.cloudfront.net
petsmart.com,204.74.99.100,crs.ultradns.net
cryoutcreations.eu,95.211.185.122,web.cryout.eu
lespompeurs.com,51.68.247.241,vs1201.deus-communication.cognix-systems.net
volkskrant.nl,23.196.3.203,a23-196-3-203.deploy.static.akamaitechnologies.com
google.org,216.239.32.27,any-in-201b.1e100.net
dedeman.ro,52.16.150.45,ec2-52-16-150-45.eu-west-1.compute.amazonaws.com
supersport.hr,18.198.21.91,ec2-18-198-21-91.eu-central-1.compute.amazonaws.com
bitcoin.com,99.83.188.88,ab131f7b344fd985a.awsglobalaccelerator.com
pex.jp,13.225.63.113,server-13-225-63-113.ewr53.r.cloudfront.net
sitepoint.com,54.148.84.95,ec2-54-148-84-95.us-west-2.compute.amazonaws.com
which.co.uk,54.170.129.123,ec2-54-170-129-123.eu-west-1.compute.amazonaws.com
umt.edu,150.131.194.46,wtswww.ito.umt.edu
schneevonmorgen.com,18.164.116.84,server-18-164-116-84.jfk50.r.cloudfront.net
kiskegyed.hu,75.2.20.139,af07376032adb5926.awsglobalaccelerator.com
hackerrank.com,52.55.97.9,ec2-52-55-97-9.compute-1.amazonaws.com
campaign-archive1.com,184.50.204.5,a184-50-204-5.deploy.static.akamaitechnologies.com
redlights.be,34.107.190.89,89.190.107.34.bc.googleusercontent.com
paysafecard.com,52.219.169.128,s3-website.eu-central-1.amazonaws.com
