website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,142.250.179.129,ams17s10-in-f1.1e100.net
ebay.com,2.16.6.12,a2-16-6-12.deploy.static.akamaitechnologies.com
stripe.com,34.252.74.21,ec2-34-252-74-21.eu-west-1.compute.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,54.154.204.197,ec2-54-154-204-197.eu-west-1.compute.amazonaws.com
branch.io,108.156.60.24,server-108-156-60-24.ams1.r.cloudfront.net
amazontrust.com,18.239.69.52,server-18-239-69-52.ams58.r.cloudfront.net
tremorhub.com,18.239.36.46,server-18-239-36-46.ams58.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
worldbank.org,35.71.168.154,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,13.227.219.85,server-13-227-219-85.ams54.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
google.ru,172.217.23.195,prg03s05-in-f3.1e100.net
weathernews.jp,18.238.243.9,server-18-238-243-9.ams58.r.cloudfront.net
goguardian.com,54.190.157.47,ec2-54-190-157-47.us-west-2.compute.amazonaws.com
mparticle.com,44.208.247.206,ec2-44-208-247-206.compute-1.amazonaws.com
howstuffworks.com,18.239.69.81,server-18-239-69-81.ams58.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,2.16.27.217,a2-16-27-217.deploy.static.akamaitechnologies.com
tamu.edu,99.83.234.45,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.83,bap.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,142.250.179.195,ams15s42-in-f3.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,23.38.24.111,a23-38-24-111.deploy.static.akamaitechnologies.com
